time_s,gforce_x,gforce_y,gforce_z
5.435733226,0.3899,0.1137,0.9906
5.436901303,0.4376,0.1256,0.9243
5.445273457,0.312,0.313,0.8578
5.455267265,0.3397,0.2176,0.8781
5.464436419,0.576,0.0665,1.1864
5.474673573,0.4564,0.141,1.1413
5.484479688,0.3393,0.3144,1.0757
5.495588726,0.5055,0.1722,0.9167
5.510069765,0.5501,0.1143,0.963
5.514807226,0.6133,0.1888,1.0252
5.524878534,0.504,0.3426,0.996
5.537969419,0.323,0.2461,1.2277
5.544926111,0.5532,0.1987,1.2894
5.555211573,0.5686,0.1217,0.9894
5.564465265,0.3396,0.3249,1.0187
5.574666265,0.4973,0.2393,0.9514
5.584894496,0.5878,0.2112,0.905
5.605034419,0.5124,0.1542,0.962
5.606807534,0.5608,0.204,0.7404
5.625209496,0.4926,0.124,0.752
5.627075034,0.5953,0.0829,0.6399
5.634597072,0.6062,0.2238,0.6219
5.646435842,0.478,-0.0109,0.4648
5.654424572,0.645,0.2102,0.8919
5.665010919,0.5597,0.2151,1.2834
5.674520265,0.4926,0.2922,1.2834
5.684856649,0.4141,0.2116,1.1567
5.696314842,0.4018,0.1284,0.9036
5.704774495,0.7076,0.1951,0.8434
5.720185265,0.6403,0.0833,0.5025
5.724563111,0.4816,0.0027,0.7066
5.739015303,0.4444,0.2132,1.1622
5.746572688,0.5088,0.273,1.1465
5.754448226,0.7087,0.2417,1.2498
5.764911995,0.7015,0.3599,0.9962
5.774501688,0.6538,0.112,0.2459
5.78447738,0.7742,0.0573,0.6317
5.795958534,0.6766,0.0362,0.9432
5.804309803,0.482,0.254,0.9221
5.81751038,0.3764,0.3057,1.391
5.82474188,0.2913,0.1142,1.219
5.835741688,0.3936,0.0181,0.8643
5.84811838,0.723,0.0338,0.7195
5.854773188,0.495,0.1384,0.845
5.864801995,0.5074,0.2099,1.0652
5.874440611,0.9003,0.4239,1.1048
5.885272265,0.8501,0.1055,0.741
5.899342149,0.5867,-0.1048,0.5039
5.904825226,0.6152,0.3953,0.9999
5.92032588,0.6845,0.2673,1.2489
5.945481303,0.6444,0.0064,0.4033
5.947575072,0.6444,0.0064,0.4033
5.948704226,0.7779,0.2288,0.5734
5.954644572,0.5747,0.3412,1.2205
5.966182649,0.6925,0.281,1.0112
5.97453038,0.7371,-0.0172,0.5678
5.984462765,0.3983,0.0443,0.9871
5.998928841,0.5756,0.1946,1.4737
6.004320034,0.5483,0.2801,0.9186
6.018332457,0.4003,-0.0424,0.3225
6.024901957,0.8504,0.0682,1.0888
6.03714688,0.8882,0.3996,1.312
6.046187188,0.552,0.1776,0.3107
6.055076995,0.8556,0.0079,0.5482
6.064475188,0.7961,0.2161,1.3086
6.074490495,0.5883,0.3247,0.6499
6.084479264,0.7812,-0.0799,0.3002
6.095492572,0.5161,0.1772,1.5009
6.105023495,0.1754,0.0147,0.946
6.114369995,0.7167,0.0641,0.4581
6.124338611,0.6634,0.1065,1.0528
6.135456457,0.5184,0.0919,0.6436
6.152987649,0.7335,0.0658,0.481
6.154654687,0.5387,0.272,1.2531
6.164418803,0.3915,-0.116,0.7021
6.174617572,0.7406,0.0716,0.9965
6.184461572,0.6534,0.321,1.1682
6.195574149,0.7026,0.029,0.3549
6.204265418,0.7771,0.0007,0.9713
6.214672418,0.8421,0.2788,0.9111
6.224752264,0.7721,0.0228,0.3872
6.237253649,0.5014,-0.0093,1.0893
6.260828995,0.5082,0.0866,0.7237
6.262306803,0.4842,0.0754,0.7408
6.26482961,0.4167,0.1116,1.0287
6.27464038,0.6837,0.0435,0.5291
6.285074687,0.4887,0.1275,0.8682
6.296848341,0.5349,0.0981,0.4874
6.305008803,0.8112,0.042,0.7443
6.314914226,0.6155,0.21,0.7895
6.324740533,0.502,-0.0154,0.3641
6.337844649,0.6613,0.1214,1.0711
6.366194495,0.8579,0.0022,0.6728
6.368472726,0.6127,0.2086,0.9221
6.369782764,0.4207,-0.0585,0.38
6.374783457,0.7245,-0.0948,1.483
6.385021649,0.8761,0.1929,0.8168
6.399888687,0.5729,-0.0728,0.1029
6.404681187,0.4581,0.1941,0.2837
6.415064533,0.4803,0.0176,0.8462
6.424878764,0.2847,-0.0347,1.4727
6.439101726,0.4913,-0.0464,1.2757
6.445364956,0.3588,-0.0039,1.2134
6.46539911,0.2465,-0.1027,1.0871
6.466914803,0.6033,0.0326,1.1108
6.474284995,0.675,-0.0299,0.4834
6.484391264,0.4472,0.0195,0.6649
6.496312841,0.5829,-0.0408,0.7371
6.504307803,0.4302,-0.073,0.8496
6.514479956,0.39,-0.0677,1.6477
