time_s	gforce_x	gforce_y	gforce_z
121.9650952	0.0039	0.2073	1.0234
121.9685555	0.1602	0.1662	0.8397
121.9766365	0.256	0.0392	0.9374
121.9775525	0.1935	0.0353	0.9022
121.9813998	0.1974	0.1096	1.2071
121.9851931	0.1954	0.2366	1.0371
122.0395347	0.127	0.2425	1.0136
122.0405212	0.0	0.0763	1.0351
122.04117	-0.0352	-0.0761	0.7967
122.0416441	0.0195	-0.1875	0.824
122.042047	0.1094	-0.2246	0.6501
122.0424498	0.0957	-0.1914	0.6325
122.0428587	0.0058	-0.0663	0.7595
122.0432484	-0.0235	0.0724	0.8514
122.0437673	0.0039	0.1272	0.869
122.0442473	0.0195	-0.0155	1.1504
122.0446999	0.1602	-0.0663	0.9237
122.0451186	0.1563	-0.1171	0.8455
122.0454935	0.0039	0.0021	1.1837
122.0458646	0.0273	0.2913	1.0918
122.0462301	0.0176	0.3148	1.0801
122.0494806	0.0684	0.1408	1.1133
122.0546386	0.127	-0.0566	0.8162
122.0574927	0.0097	-0.166	0.9628
122.0613324	-0.043	-0.1445	0.8006
122.0658333	-0.0587	0.006	0.7165
122.0689497	-0.0567	0.1037	1.0683
122.0788082	0.0469	0.2444	0.9061
122.0800443	0.1348	0.2601	0.9648
122.0809707	0.129	0.0197	1.1348
122.0861847	0.0234	-0.168	1.2853
122.1267256	0.0801	-0.0976	1.0312
122.1277288	0.0469	0.1447	1.0332
122.1283948	0.0273	0.3363	1.2247
122.1290139	0.1544	0.3285	0.9999
122.1294846	0.1231	0.1115	0.8866
122.1299216	-0.0939	-0.2207	1.256
122.1304078	-0.1701	-0.2129	1.0468
122.1309136	-0.2287	-0.0292	0.9296
122.1314798	-0.1036	-0.1269	0.9843
122.1319519	-0.0274	-0.0116	1.0117
122.1324118	0.1211	0.178	0.8162
122.1328852	0.297	-0.0331	0.7556
122.1381503	0.2032	-0.209	1.1035
122.1407886	0.084	-0.1211	0.7087
122.1458121	0.084	0.0412	0.8338
122.1494824	0.0606	0.0939	1.3126
122.1526727	0.0645	0.1526	0.9804
122.1579973	-0.086	-0.0136	1.0312
122.1612022	-0.1818	-0.1992	1.2188
122.1657827	-0.3577	-0.037	0.8846
122.1696967	-0.3538	-0.0253	0.8221
122.1770468	-0.2619	-0.0781	1.1758
122.1778024	-0.1427	0.0939	1.0175
122.181671	0.0664	0.1643	0.8025
122.1852568	0.3518	0.0216	0.998
122.2290393	0.2951	-0.1504	1.1016
122.2298837	0.2892	-0.2168	1.2892
122.2305687	0.2951	-0.1543	1.2657
122.2311706	0.2482	-0.0566	1.1309
122.2316035	0.0254	0.0627	1.1016
122.2324802	0.0371	0.1995	1.1543
122.2331583	0.0586	0.3832	0.7752
122.2337581	0.0723	0.2053	0.9413
122.2341927	-0.0587	0.0803	1.0703
122.2345655	-0.1955	0.135	0.8338
